Country,Currency,Continent,Security Thread Embeded,Security Thread Windowed,Watermark,Metallic Element,OVI Ink,OVMI Ink (SPARK),Blind code,Rainbow printing,Rectoverso,Intaglio print,Latent image,Hologram Patch,Hologram Stripe,Kinegram,Holographic Patch,Iridescent ink,Iridescent planchetes,Fibres Visible,Motion,Polymer Substrate,Complex Clear Window (polymer),Embossed Paper,Polymer paper,Moire Variable Color (Stripe & image),Gold Foil / Metal Foil,Diffractive Optical Element (WinDOE),Invisible Ink Fluorescent,Fibres Invisible,IR Ink,Microtext,Microtag,Metalic ink,Relief & line width,Raster effect,CDS/BDS,Anty copying,Endless Pattern,Microperforation,Magnetic Thread,Intaglio Contrast Effect (ICE) Feature
Croatia,Croatian Kuna,Europe,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Czechia,Czech Koruna,Europe,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Denmark,Danish Krone,Europe,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Greenland,Greenlandic Krone,Europe,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Austria,Euro,Europe,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Belgium,Euro,Europe,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Cyprus,Euro,Europe,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Estonia,Euro,Europe,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Finland,Euro,Europe,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
France,Euro,Europe,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
Germany,Euro,Europe,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0
